ingredient_id,ingredient_name,quantity_kg,price_kg,last_ordered,best_before,supplier_id,
1,frying oil,102,2.7,2022-08-16,2024-01-18,S01,
2,extra virgin olive oil,55.9,15.25,2022-08-16,2023-05-24,S01,
3,butter,30.5,7,2022-09-02,2022-10-24,S02,
4,flour,67.25,0.85,2022-08-16,2023-04-22,S04,
5,garlic,5.35,34.5,2022-08-31,2022-10-14,S01,
6,potatoes,70,0.35,2022-08-31,2022-09-10,S02,
7,halloumi cheese,16.8,22.41,2022-09-04,2022-09-08,S04,
8,olives,4.9,16.99,2022-08-31,2023-07-09,S05,
9,squid,5.7,256.45,2022-09-04,2022-09-06,S06,
10,rosemary,0.75,27.9,2022-08-31,2022-10-07,S03,
11,breadcrumbs,38.5,9.5,2022-08-31,2023-08-06,S03,
12,mushrooms,29.75,0.75,2022-09-05,2022-09-07,S03,
13,mozzarella cheese,45.25,5.53,2022-09-05,2023-07-15,S05,
14,chicken mince,15.7,4.55,2022-09-04,2022-09-08,S02,
15,chicken wings,35.25,3,2022-09-04,2022-09-08,S02,
16,bbq marinade,2.35,17.98,2022-08-31,2024-11-14,S01,
17,nachos,9.95,12.25,2022-08-31,2023-07-15,S04,
18,grated cheese,32.15,18,2022-09-05,2022-12-29,S02,
19,red chilli,1.45,47.65,2022-08-31,2022-09-07,S03,
20,king prawn,5.35,26.15,2022-09-05,2022-09-08,S06,
21,seafood sauce,3.5,9.6,2022-08-31,2024-02-23,S01,
22,lemon,2.35,3.8,2022-09-05,2022-09-08,S02,
23,tomatoes,12.25,3.2,2022-09-05,2022-09-07,S04,
24,basil,0.53,30.35,2022-09-05,2022-09-07,S04,
25,eggs,8.9,4.2,2022-09-04,2022-10-14,S02,
26,lettuce,5.7,2.85,2022-09-05,2022-09-07,S01,
27,romaine salad,6.4,4.99,2022-09-05,2022-09-07,S02,
28,chicken breast,55.5,6.65,2022-09-04,2022-09-07,S02,
29,croutons,1.95,95.99,2022-08-09,2025-11-21,S11,
30,tuna,15.5,23.75,2022-09-05,2022-09-07,S06,
31,sundried tomatoes,4.25,15.99,2022-04-20,2025-09-03,S05,
32,parma ham,7.75,29.1,2022-09-05,2022-09-08,S05,
33,salami,5.5,32.15,2022-09-05,2022-09-09,S05,
34,chicken quarters,50.35,3.71,2022-09-05,2022-09-08,S07,
35,salmon,30,22.15,2022-09-05,2022-09-07,S07,
36,dill,0.9,28.26,2022-09-05,2022-09-08,S03,
37,sea bass,12.9,23.45,2022-09-05,2022-09-08,S08,
38,ham,9.75,36.14,2022-09-04,2022-12-15,S11,
39,pineapple,6.5,1.56,2022-09-05,2022-09-08,S02,
40,artichokes,3.75,13.7,2022-09-01,2022-09-08,S05,
41,prosciuto crudo,3.75,49.55,2022-09-05,2022-09-25,S04,
42,cherry tomatoes,4.7,5.25,2022-09-05,2022-09-09,S05,
43,parmegiano reggiano,6.9,29.3,2022-09-04,2023-01-27,S05,
44,spicy salami,1.75,65.99,2022-09-05,2022-09-25,S05,
45,tomato sauce,37.5,3.5,2022-08-09,2023-07-01,S05,
46,oregano,0.5,27.4,2022-09-04,2022-09-12,S03,
47,sweet pepper,12.35,6.12,2022-09-05,2022-09-07,S02,
48,red onion,16.25,1.12,2022-09-05,2022-09-17,S02,
49,shrimps,5.7,11.83,2022-09-05,2022-09-08,S06,
50,mussels,17.85,7.25,2022-09-05,2022-09-07,S08,
51,vegan cheese,15.5,16.98,2022-09-01,2022-10-16,S01,
52,smoked haddock,10.15,18.5,2022-09-05,2022-09-07,S08,
53,cod loin,9.75,24.7,2022-09-05,2022-09-07,S09,
54,potato chips,99,2.49,2022-09-01,2022-11-05,S02,
55,cod fillet,15.3,14.99,2022-09-05,2022-09-07,S06,
56,beef mince,34.4,3.25,2022-09-05,2022-09-07,S01,
57,aubergine,9.75,3.4,2022-09-01,2022-09-09,S03,
58,brown lentils,25.5,2,2022-08-09,2025-03-05,S05,
59,sweet potato,55.75,2.45,2022-09-04,2022-10-22,S02,
60,sirloin steak,17.5,21.99,2022-09-04,2022-10-11,S02,
61,steak marinade,2.9,75.2,2022-08-09,2024-10-26,S01,
62,ribs,19.75,7.99,2022-09-05,2022-09-12,S02,
